Platform,Title,Views,Impressions,Likes,Dislikes,Subscribers,Upload_Time
Shorts,"AI ""Girlfriend"" got crazy... I don't like it here!",226,146,4,0,0,22:00
Shorts,All 11 Laurens in Normandy in Asterix & Obelix XXL Romastered!,270,3137,4,1,0,16:00
Shorts,All 16 Laurens in Helvetia in Asterix & Obelix XXL Romastered!,151,1958,1,0,0,11:00
Shorts,All 18 Laurens in Greece in Asterix & Obelix XXL Romastered! Opa! Part 1,39,2204,2,0,0,18:00
Shorts,All 3 Laurens in Rome in Asterix & Obelix XXL Romastered!,243,332,1,0,0,09:00
Shorts,All 7 Laurens in Gaul in Asterix & Obelix XXL Romastered!,226,2739,1,0,0,10:30
Shorts,All 8 Laurens in Egypt in Asterix & Obelix XXL Romastered!,87,721,1,0,0,20:00
Shorts,"All was going well, until that cursed night... Schedule 1 #gaming #gamingshorts #schedule1",973,211,8,2,0,23:00
Shorts,"Another day, another secret military base for a Decepticon to destroy!",104,56,0,0,0,07:30
Shorts,Asterix and Obelix find their Chief!,70,36,1,0,0,10:00
Shorts,Asterix and Obelix XXL - The closing scene,2,21,1,0,0,11:00
Shorts,Asterix dancing Syrtaki with Romans in Greece! #retrogaming,159,337,2,0,0,21:00
Shorts,"Autobots kicking some Decepticons, what else do you need?",98,62,4,0,0,06:00
Shorts,Average fight in Asterix & Obelix XXL Romastered after you unlock the Twister!,100,363,2,0,0,10:00
Shorts,Barricade is hunting my Bumblebee! Stop him!,1018,60,12,0,1,06:00
Shorts,"Bumblebee is my favorite Autobot, which is yours?",334,119,9,0,1,06:00
Shorts,Carmelita ambushes Sly! #slycooper,3,17,1,0,0,16:30
Shorts,Check out this stunning Scenery and these amazing NPCs!,27,29,1,0,0,12:00
Shorts,Cortex wants to enslave me?! That sounds kinda... SUS!,1234,440,26,3,4,20:00
Shorts,Crash Tag Team Racing - Chaos Bundle 1,238,115,10,0,2,09:00
Shorts,Crash Tag Team Racing - Chaos Bundle 2,267,148,5,0,0,09:00
Shorts,Crash Tag Team Racing - Chaos in the Park Entrance!,161,107,5,0,0,15:00
Shorts,Crash Tag Team Racing - Crash won't even let his karma stop himself from being a menace!,119,13,2,1,0,09:00
Shorts,"Crash Tag Team Racing - Top of the Morning! Oh no, the Power Gems have been stolen!",1132,532,52,0,1,13:00
Shorts,Crash Tag Team Racing - We have to *OUCH* help Stew!,59,249,1,1,0,09:00
Shorts,Crash Tag Team Racing - Welcome to the Happily Ever Faster,5,364,1,0,0,09:00
Shorts,Crash Tag Team Racing - Welcome to the Mystery Island!,80,97,4,0,0,07:30
Shorts,Crash Tag Team Racing Crash strikes again!,366,145,4,0,0,09:00
Shorts,Crash Tag Team Racing doing only a bit of racing and... lots of not racing.,247,66,7,1,0,09:00
Shorts,Crash Tag Team Racing Intro - PS2 - Full Playthrough incoming!,1307,340,35,1,2,15:00
Shorts,Did you know there is a haunted house on the top of the hill in Schedule 1?,290,88,1,0,0,14:30
Shorts,Did you know you can find the Epstein files in GTA Online?,264,94,3,1,0,09:00
Shorts,Do you know who's the best thief of all time? #slycooper,4,182,1,0,0,17:00
Shorts,Donkeys are burritos... I learn something new every day. Shrek 2 coming tomorrow! #shrek2,100,198,1,0,0,20:30
Shorts,En Guarde! This cat lets nothing stop him! Puss in Boots' Hero Time in Shrek 2!,10,235,1,0,0,18:00
Shorts,Every story has two sides... and THIS is the Decepticon's side,116,49,0,0,0,07:30
Shorts,Fairy Godmother isn't much a Goodmother... #retrogaming,1369,209,32,1,0,16:30
Shorts,Fiona Jackson on the stage! I love me some blackbird pie. Fiona's Hero Time from Shrek 2!,71,332,3,0,0,16:00
Shorts,"First we mine, then we grab the sleeping beauty.' Said a dwarf to Shrek. #retrogaming",618,119,2,3,0,16:00
Shorts,"Gaas, Gaaas, Gaaaas, I'm gonna step on the Gas! Changed Shrek's and Donkey's Hero Time in Shrek 2!",10,126,1,0,0,22:00
Shorts,Goku is searching for Gohan! #dbz,97,0,2,1,0,19:30
Shorts,GTA online's weekly update is here and you don't want to miss it!,213,103,1,0,0,16:00
Shorts,He asked for WHAT?! 😳,811,275,22,1,0,08:00
Shorts,Henry Cena Said NO to Racism 💥 | KCD2 Epic Scene #kcd2,240,396,3,1,0,20:30
Shorts,Henry Cena the defender of women and king of the tavern! #gaming #kcd2 #games #gamingshorts,498,119,10,0,0,17:00
Shorts,Henry skipping happily on the way to Zhelejov in Kingdom Come: Deliverance 2,503,298,4,0,0,14:30
Shorts,Here are the rest of the Laurens in Greece in Asterix & Obelix XXL Romastered! Opa! Part 2,7,692,1,0,0,18:30
Shorts,Hey you! Do you want to become... Crystal Craaaazy? #cortex,1295,354,43,2,0,20:00
Shorts,How to start off at Kingdom Come: Deliverance 2,838,115,4,3,0,19:00
Shorts,"I am Machine, I never sleep and destroy the city #transformers",216,52,3,0,0,07:30
Shorts,I can't believe that car did poor Lamar so dirty... #gta,1950,72,7,1,0,10:00
Shorts,I have plenty of milk for all of you! Giant Gingerbreadman's Hero Time in Shrek 2!,14,116,1,0,0,23:00
Shorts,"I wasn't as lucky as Henry, but it could have been worse #playing #pubg",194,42,3,1,0,16:20
Shorts,I... am Optimus Prime. And you... are Megatron. Let's Battle!,1386,99,36,1,6,07:30
Shorts,I'm beginning to feel like a Rap God... Now I know where Eminem got that idea.,761,803,22,0,0,20:00
Shorts,Jack and Jill left the farm to these guys?? Shrek needs to help PRONTO! #retrogaming,1057,175,7,4,0,16:00
Shorts,Just a tease for tomorrow's McPixel 3 video! Make sure to watch it till the end! #mcpixel3 #gaming,315,893,2,0,0,00:00
Shorts,Let's crash the party! Finale of Shrek 2! #retrogaming,20,189,1,0,0,22:00
Shorts,Lil Red doesn't feel so little when facing evil fairies! Red Ridinghood's Hero Time from Shrek 2!,19,169,2,0,0,20:00
Shorts,Megatron vs Optimus Prime is here... again! #transformers,978,207,27,0,4,07:00
Shorts,Morderkaiser the confused Dark Lord #uwu #gamingshorts,103,103,1,0,0,22:00
Shorts,N-gin's ship sure looks nice and cozy! But his workers aren't very nice...,1856,492,42,2,1,20:00
Shorts,New Asterix & Obelix XXL Romastered out now! Hit the link for the full video!,663,8979,7,0,3,20:20
Shorts,"Nina Cortex's first EVER appearance! She moves elegant but, a bit too heavy. Almost like, metal...",545,311,19,0,1,06:00
Shorts,Picklock dude is kinda sus sometimes... #gaming,43,57,0,0,0,11:00
Shorts,Raditz kidnaps Gohan! #dbz,3,17,1,0,0,19:00
Shorts,Revenge Was Brief 😅 | PUBG Moments #playerunknownsbattleground,210,380,1,0,0,20:00
Shorts,"Rock, Pop, Jazz... Jazz? That's one slick Autobot! #transformers",269,86,1,0,0,06:00
Shorts,"Scofield was busy, so a fairy took his job... Shrek will be in prison for a while #retrogaming",1113,674,24,0,0,22:30
Shorts,She tricked me 😭 | AI2U #ai2u,115,333,1,0,0,09:00
Shorts,She Was Just Code… But She Stayed 🥺❤️ #ai2u,385,1589,5,0,1,09:30
Shorts,Shrek is throwing a fit like never before! Far far awayyy! #retrogaming,952,160,18,0,0,17:00
Shorts,"Sneaky, scary Henry here! And this... is how to Steal a Lute in Kingdom Come:Deliverance 2!",175,883,1,0,0,15:00
Shorts,"So many lives ruined, so few remembered... That cake is good tho 🍑",1611,302,48,9,1,20:00
Shorts,Stadium Showdown 🔥 | PUBG Madness! How could I do that to my friend!!!,17,34,1,0,0,13:00
Shorts,Tell me you played this as a kid! #ps2,53,806,3,0,0,22:00
Shorts,"The farmer's market is tomorrow... but I'm an evil scientist, what did you expect?",1588,878,39,0,0,20:00
Shorts,The final battle is growing near. Are you ready for this?,127,648,3,0,0,16:00
Shorts,The Finale is coming... #asterixobelix,316,69,2,0,0,13:00
Shorts,These sewers always give me headaches...,426,305,22,1,1,20:00
