Platform,Title,Views,Impressions,Impression clicks,Likes,Dislikes,Upload_Time
Youtube,Carmelita ambushes Sly! #slycooper,2,4,0%,1,0,16:30
Youtube,Asterix and Obelix find their Chief!,70,15,13.30%,1,0,10:00
Youtube,Raditz kidnaps Gohan! #dbz,2,6,0%,1,0,19:00
Youtube,Crash Tag Team Racing - We have to *OUCH* help Stew!,55,93,1.10%,1,1,09:00
Youtube,Do you know who's the best thief of all time? #slycooper,4,174,0%,1,0,17:00
Youtube,Welcome to the Infinite World of Dragon ball Z! #dbz,3,30,0%,1,0,12:30
Youtube,Crash Tag Team Racing - Welcome to the Happily Ever Faster,4,263,0.80%,1,0,08:45
Youtube,All 3 Laurens in Rome in Asterix & Obelix XXL Romastered!,242,291,0.30%,1,0,09:00
Youtube,Average fight in Asterix & Obelix XXL Romastered after you unlock the Twister!,98,337,0.30%,2,0,10:00
Youtube,Crash Tag Team Racing - Chaos Bundle 2,267,146,0.70%,5,0,09:00
TikTok,Carmelita ambushes Sly! #slycooper,301,,,8,,21:00
TikTok,Crash Tag Team Racing - Welcome to the Mystery Island!,352,,,7,,09:00
TikTok,Raditz kidnaps Gohan! #dbz,259,,,6,,20:30
TikTok,Crash Tag Team Racing - We have to *OUCH* help Stew!,328,,,14,,20:00
TikTok,Do you know who's the best thief of all time? #slycooper,379,,,14,,19:00
TikTok,Welcome to the Infinite World of Dragon ball Z! #dbz,260,,,5,,22:00
TikTok,Crash Tag Team Racing - Welcome to the Happily Ever Faster,341,,,7,,20:00
TikTok,All 3 Laurens in Rome in Asterix & Obelix XXL Romastered!,922,,,6,,10:00
TikTok,Average fight in Asterix & Obelix XXL Romastered after you unlock the Twister!,794,,,3,,06:30
TikTok,Crash Tag Team Racing - Chaos Bundle 2,786,,,11,,09:00
